Rand,Vb,phi,Sw,So,Bo,RF,RESERVE
0.5172978838465893,22753.00893258645,0.25372338831083746,0.273743132451044,0.726256867548956,1.2,0.40144576532906545,10881405.687934792
0.9469626038148141,31927.193383325488,0.29803092388639907,0.3514636912355996,0.6485363087644004,1.2,0.4538696764761457,18107398.71055292
0.7654597593969069,26723.193221602738,0.2738013399600362,0.3089621894614211,0.6910378105385788,1.2,0.42413253269487283,13864232.949310543
0.2823958439671127,19141.5231708965,0.2369327985841829,0.24821297215917904,0.751787027840821,1.2,0.3808087038336943,8394056.74298657
0.22104536326165258,18016.10628353244,0.23152293141675923,0.24150285777643637,0.7584971422235636,1.2,0.37437775019161396,7657507.943507647
0.6862220852374669,25330.157767305325,0.2665642533098016,0.2962674996954049,0.7037325003045951,1.2,0.4161723300988876,12784658.85561305
0.16713920310005626,16867.729885194938,0.2261065892072408,0.23478471209241694,0.7652152879075831,1.2,0.36781559934397107,6939883.30485576
0.39244246646503067,20907.740688329097,0.2453267678292094,0.2595714335776892,0.7404285664223108,1.2,0.3909013753618806,9597783.2014587
0.6180523472528092,24252.155570851548,0.2610447318723811,0.2865856186165515,0.7134143813834485,1.2,0.41001231754772316,11972161.635823335
0.411930094858746,21201.600074469934,0.24668381373812298,0.2616802534916971,0.7383197465083029,1.2,0.39258057185411394,9800564.891186062
0.002464881200886171,6099.070779128764,0.1943847546529894,0.19543861879622337,0.8045613812037766,1.2,0.3062804044521644,1888742.69616329
0.8840321823721048,29473.094226980393,0.2875145087706243,0.33301667881229574,0.6669833211877043,1.2,0.4398462527256023,16071999.02272942
0.8849475383764736,29500.516972382236,0.28764296984001636,0.3332420144344539,0.6667579855655461,1.2,0.4400029541278985,16094435.105935581
0.30040968936648094,19447.8683577565,0.23840656543340533,0.2500409749328807,0.7499590250671193,1.2,0.3825592477586086,8599931.40342413
0.5895818652147146,23821.072150289277,0.25888694880349944,0.2828006167275763,0.7171993832724237,1.2,0.40754898371593873,11653589.413467577
0.9784269160148309,34296.70483865947,0.30598875222312305,0.3654226455535846,0.6345773544464154,1.2,0.467409741935197,20123740.918293685
0.8450938221263111,28424.42577162959,0.2824547443922595,0.324141264964598,0.675858735035402,1.2,0.4338538615521691,15219784.438972006
0.06507543905719348,13671.208102275132,0.21252972313736032,0.21794468229710837,0.7820553177028916,1.2,0.3495497605844293,5135013.412110341
0.2947444647173656,19352.468748735693,0.237947959547779,0.24947212436602872,0.7505278756339713,1.2,0.38201410713563255,8535581.572657384
0.2879344409672464,19236.663377482422,0.23739080754265032,0.24878106235520892,0.7512189376447911,1.2,0.38135236215704243,8457755.783486543
0.822466339103433,27894.696141891738,0.279806016443269,0.31949508878734845,0.6805049112126516,1.2,0.43082683509652425,14793850.416636107
0.6261830379602461,24376.937917158823,0.2616756109799532,0.28769225377757013,0.7123077462224299,1.2,0.41072535952662187,12065077.419472335
0.11047771391367378,15360.04948680913,0.21935517277289737,0.22641061063706686,0.7735893893629331,1.2,0.35920028278176647,6052798.2526241485
0.0005288111692760555,5000.0,0.1920309424217228,0.1925190740424435,0.8074809259575565,1.2,0.3,1503707.181724193
0.9421662328554996,31677.125526262855,0.297059047948811,0.3497589080659333,0.6502410919340667,1.2,0.4524407172929306,17897533.051149726
0.14150075772518977,16237.327060548294,0.2232220696263264,0.23120690588605602,0.768793094113944,1.2,0.3642132974888474,6561233.137265845
0.4215965261661597,21346.103341389982,0.24734503382243353,0.26273925480593974,0.7372607451940603,1.2,0.39340630480794275,9900400.387633197
0.3464894401485442,20196.908202798048,0.24198670631188943,0.2547288069253444,0.7452711930746556,1.2,0.38683947544456027,9109405.810707802
0.8697850843971815,29064.69203229262,0.28557681403493207,0.32961773739848005,0.6703822626015199,1.2,0.437512525898815,15738748.849985553
0.42860181235228634,21450.37936814027,0.2478194961613108,0.26351225650626864,0.7364877434937314,1.2,0.39400216781794445,9972478.56441027
0.8287514843227557,28037.25089045536,0.28052391239417307,0.3207543615888853,0.6792456384111147,1.2,0.43164143365974494,14908152.585958106
0.7178518382260383,25862.752183463712,0.2693290194278515,0.30111722028609295,0.698882779713907,1.2,0.4192157267626498,13193752.227830356
0.11922669418412268,15623.308765264026,0.22049538021793066,0.22782486391528028,0.7721751360847198,1.2,0.36070462151579447,6203096.8188508805
0.5963841727096089,23923.32704673525,0.2593955114835332,0.283692694681264,0.716307305318736,1.2,0.4081332974099157,11728810.562301304
0.12975629770517993,15922.660651091086,0.22181350534129182,0.22945979691359497,0.770540203086405,1.2,0.3624152037205205,6376375.218447871
