Vb,param_d,Sw,So,G,H,Reserve
5000.0,0.10547585678193394,0.10547585678193394,0.8945241432180661,1.2,0.15,457482.95865202433
5000.0,0.10774403092662367,0.10774403092662367,0.8922559690733763,1.2,0.15,466135.81635417836
5187.299106875915,0.10948446216128019,0.10948446216128019,0.8905155378387198,1.2,0.15053514030535975,492200.1054281825
5709.803377734283,0.11095171356386788,0.11095171356386788,0.8890482864361321,1.2,0.15202800965066937,553570.1392973714
6124.697058703661,0.11224438799945753,0.11224438799945753,0.8877556120005424,1.2,0.15321342016772477,604516.2947046411
6470.319132163933,0.11341305502029689,0.11341305502029689,0.8865869449797031,1.2,0.15420091180618267,648582.9890895092
6767.437438060899,0.11448775526000364,0.11448775526000364,0.8855122447399963,1.2,0.15504982125160258,687729.509926463
7028.6082692759555,0.11548806185324734,0.11548806185324734,0.8845119381467527,1.2,0.15579602362650274,723161.0542685097
7262.02064873434,0.11642757034580181,0.11642757034580181,0.8835724296541982,1.2,0.156462916139241,755675.6348101384
7473.320778141408,0.1173161795717912,0.1173161795717912,0.8826838204282088,1.2,0.15706663079468974,785831.0027976288
7666.571273277657,0.11816136235139783,0.11816136235139783,0.8818386376486022,1.2,0.1576187750665076,814033.4812550377
7844.795786736084,0.11896892432256037,0.11896892432256037,0.8810310756774397,1.2,0.1581279879621031,840588.9540799325
8010.307352353802,0.11974348240436004,0.11974348240436004,0.8802565175956399,1.2,0.1586008781495823,865733.9135243807
8164.916127198372,0.1204887799770393,0.1204887799770393,0.8795112200229607,1.2,0.15904261750628107,889655.2846431213
8310.066153638301,0.12120790212264708,0.12120790212264708,0.8787920978773529,1.2,0.15945733186753802,912503.5880165613
8446.928440132062,0.12190342712773575,0.12190342712773575,0.8780965728722643,1.2,0.1598483669718059,934401.970212188
8576.466131520916,0.12257753590266843,0.12257753590266843,0.8774224640973316,1.2,0.16021847466148834,955452.5742231593
8699.481264387177,0.12323209277987099,0.12323209277987099,0.876767907220129,1.2,0.16056994646967765,975741.14253337
8816.649030911063,0.12386870634175187,0.12386870634175187,0.8761312936582482,1.2,0.16090471151688876,995340.413334886
8928.543361590528,0.12448877599891506,0.12448877599891506,0.8755112240010849,1.2,0.16122440960454437,1014312.6727251568
9035.656344749204,0.12509352819794956,0.12509352819794956,0.8749064718020505,1.2,0.16153044669928346,1032711.7040718481
9138.413186718662,0.12568404494851895,0.12568404494851895,0.8743159550514811,1.2,0.16182403767633904,1050584.2986854692
9237.183890369784,0.12626128657194452,0.12626128657194452,0.8737387134280554,1.2,0.16210623968677082,1067971.4418657997
9332.292481543942,0.12682611004059374,0.12682611004059377,0.8731738899594063,1.2,0.16237797851869698,1084909.2550895019
9424.024377786332,0.12737928390966968,0.12737928390966968,0.8726207160903303,1.2,0.1626400696508181,1101429.7525023103
9512.632331938137,0.12792150058472054,0.12792150058472054,0.8720784994152795,1.2,0.16289323523410898,1117561.454247296
9598.341269834755,0.12845338648384055,0.12845338648384058,0.8715466135161594,1.2,0.1631381179138136,1133329.8881662749
9681.352260786813,0.12897551052000727,0.12897551052000727,0.8710244894799928,1.2,0.1633752921736766,1148758.0035589035
9761.845801408646,0.12948839123097944,0.12948839123097944,0.8705116087690206,1.2,0.16360527371831043,1163866.514995954
9839.984550892943,0.12999250281132865,0.12999250281132865,0.8700074971886713,1.2,0.16382852728826555,1178674.1900093232
9915.915624421852,0.13048828024641285,0.13048828024641285,0.8695117197535871,1.2,0.16404547321263388,1193198.0913817405
9989.772527913134,0.13097612370649467,0.13097612370649467,0.8690238762935053,1.2,0.16425649293689468,1207453.7824316942
10061.67679954755,0.1314564023272896,0.1314564023272896,0.8685435976727104,1.2,0.164461933712993,1221455.501923582
10131.739409976983,0.13192945747851917,0.13192945747851917,0.8680705425214809,1.2,0.16466211259993424,1235216.3138807893
10200.061962683732,0.1323956056027483,0.1323956056027483,0.8676043943972517,1.2,0.1648573198933821,1248748.2365345568
10266.737727862821,0.13285514069160362,0.13285514069160362,0.8671448593083964,1.2,0.16504782207960805,1262062.3538272665
10331.852536862067,0.13330833645442713,0.13330833645442713,0.8666916635455728,1.2,0.1652338643910345,1275168.9122494205
10395.485559218021,0.1337554482248062,0.1337554482248062,0.8662445517751938,1.2,0.16541567302633722,1288077.405283793
10457.709980359003,0.13419671464269373,0.13419671464269373,0.8658032853573063,1.2,0.16559345708674,1300796.6473273323
10518.593594876222,0.1346323591435824,0.1346323591435824,0.8653676408564176,1.2,0.16576741027107494,1313334.8386383755
10578.19932771486,0.13506259128111223,0.13506259128111223,0.8649374087188878,1.2,0.1659377123648996,1325699.6225961715
10636.58569357477,0.13548760790533196,0.13548760790533196,0.864512392094668,1.2,0.16610453055307078,1337898.1363482662
10693.80720313341,0.13590759421541398,0.13590759421541398,0.864092405784586,1.2,0.16626802058038118,1349937.0557488352
10749.914723331913,0.13632272470279566,0.13632272470279566,0.8636772752972044,1.2,0.16642832778094835,1361822.6353495435
10804.955797838462,0.13673316399837257,0.13673316399837257,0.8632668360016275,1.2,0.1665855879938242,1373560.7440879582
10858.974932872059,0.1371390676354104,0.1371390676354104,0.8628609323645896,1.2,0.16673992837963447,1385156.897221924
10912.013852798309,0.13754058273820263,0.13754058273820266,0.8624594172617973,1.2,0.16689146815085232,1396616.2849780673
10964.111729265214,0.13793784864512076,0.13793784864512076,0.8620621513548792,1.2,0.16704031922647206,1407943.7983154175
11015.30540493924,0.13833099747353755,0.13833099747353755,0.8616690025264624,1.2,0.16718658687125498,1419144.0548784132
11065.629499763447,0.13872015463311832,0.13872015463311832,0.8612798453668817,1.2,0.16733036999932416,1430221.4078594726
11115.116717599925,0.13910543929313218,0.13910543929313218,0.8608945607068679,1.2,0.16747176205028552,1441179.986293521
11163.797882043025,0.13948696480872008,0.13948696480872008,0.86051303519128,1.2,0.1676108510915515,1452023.6946176118
11211.702112453957,0.13986483911044104,0.13986483911044104,0.860135160889559,1.2,0.16774772032129703,1462756.234254512
11258.856948320548,0.14023916506089062,0.14023916506089062,0.8597608349391094,1.2,0.167882448423773,1473381.1178395692
11305.28846243906,0.14061004078173098,0.14061004078173098,0.859389959218269,1.2,0.16801510989268303,1483901.682206455
11351.021364115353,0.1409775599540786,0.1409775599540786,0.8590224400459214,1.2,0.16814577532604388,1494321.1002621655
11396.079093414985,0.1413418120948557,0.1413418120948557,0.8586581879051443,1.2,0.1682745116954714,1504642.391862695
11440.48390737671,0.14170288281141497,0.14170288281141497,0.858297117188585,1.2,0.1684013825925049,1514868.4337889377
11484.256958991764,0.14206085403648933,0.14206085403648933,0.8579391459635106,1.2,0.16852644845426218,1525001.9689101607
11527.418369699886,0.14241580424529415,0.14241580424529415,0.8575841957547059,1.2,0.1686497667705711,1535045.6146190737
11569.987295974714,0.14276780865641078,0.14276780865641078,0.8572321913435892,1.2,0.16877139227421348,1545001.8705983914
11611.981990632094,0.1431169394179088,0.1431169394179088,0.8568830605820912,1.2,0.1688913771160917,1554873.125992084
11653.419859295669,0.14346326578001092,0.14346326578001092,0.8565367342199891,1.2,0.16900977102655906,1564661.6660259906
11694.31751251747,0.1438068542554715,0.1438068542554715,0.8561931457445285,1.2,0.16912662146433563,1574369.6781353618
11734.69081393152,0.14414776876872004,0.14414776876872004,0.85585223123128,1.2,0.16924197375409006,1583999.2576402354
11774.554924789232,0.1444860707947176,0.1444860707947176,0.8555139292052825,1.2,0.16935587121368353,1593552.4130069965
11813.924345219288,0.1448218194883795,0.1448218194883795,0.8551781805116205,1.2,0.16946835527205512,1603031.07073543
11852.81295248324,0.14515507180533688,0.14515507180533688,0.8548449281946631,1.2,0.16957946557852355,1612437.0799007697
11891.234036481299,0.14548588261473422,0.14548588261473422,0.8545141173852657,1.2,0.16968924010423228,1621772.2163789955
11929.20033276941,0.14581430480469645,0.14581430480469645,0.8541856951953035,1.2,0.16979771523648404,1631038.186786132
11966.724053260914,0.14614038938103885,0.14614038938103885,0.8538596106189611,1.2,0.16990492586645978,1640236.6321491594
12003.816914823023,0.146464185559742,0.146464185559742,0.8535358144402581,1.2,0.17001090547092293,1649369.1313332596
12040.490165943505,0.14678574085366594,0.14678574085366597,0.8532142591463341,1.2,0.17011568618841003,1658437.204245391
12076.754611613194,0.14710510115393702,0.14710510115393702,0.852894898846063,1.2,0.17021929889032342,1667442.3148301756
12112.620636566644,0.14742231080640095,0.14742231080640095,0.852577689193599,1.2,0.17032177324733327,1676385.8738742853
12148.09822701314,0.14773741268350374,0.14773741268350374,0.8522625873164963,1.2,0.17042313779146612,1685269.2416345477
12183.19699097845,0.14805044825192992,0.14805044825192992,0.8519495517480701,1.2,0.17052341997422416,1694093.7303036905
12217.92617734789,0.14836145763630007,0.14836145763630007,0.8516385423637,1.2,0.170622646220994,1702860.6063232273
12252.294693728029,0.1486704796792049,0.1486704796792049,0.8513295203207951,1.2,0.1707208419820801,1711571.092557957
12286.311123203253,0.14897755199783008,0.14897755199783008,0.85102244800217,1.2,0.17081803178058075,1720226.370340188
12319.98374006711,0.14928271103740542,0.14928271103740542,0.8507172889625946,1.2,0.17091423925733462,1728827.5813927779
12353.320524609882,0.14958599212169355,0.14958599212169355,0.8504140078783065,1.2,0.1710094872131711,1737375.8296407661
12386.329177027237,0.14988742950071599,0.14988742950071599,0.850112570499284,1.2,0.17110379764864925,1745872.1829189023
12419.017130507827,0.1501870563958991,0.1501870563958991,0.8498129436041009,1.2,0.17119719180145093,1754317.6745815196
12451.391563565518,0.1504849050428087,0.1504849050428087,0.8495150949571912,1.2,0.17128969018161577,1762713.3050228083
12483.459411658101,0.15078100673162814,0.15078100673162814,0.8492189932683718,1.2,0.17138131260473743,1771060.0431117571
12515.227378152884,0.15107539184552493,0.15107539184552493,0.848924608154475,1.2,0.17147207822329397,1779358.8275494296
12546.70194467412,0.15136808989703787,0.15136808989703787,0.8486319101029621,1.2,0.1715620055562118,1787610.568152123
12577.88938087557,0.15165912956260894,0.15165912956260894,0.848340870437391,1.2,0.17165111251678736,1795816.14706557
12608.795753683456,0.1519485387153736,0.1519485387153736,0.8480514612846264,1.2,0.1717394164390956,1803976.4199158791
12639.426936029731,0.15223634445631623,0.15223634445631626,0.8477636555436837,1.2,0.17182693410294209,1812092.2168987012
12669.788615125386,0.15252257314388903,0.15252257314388903,0.8474774268561109,1.2,0.1719136817575011,1820164.3438134212
12699.88630028686,0.15280725042218563,0.15280725042218563,0.8471927495778144,1.2,0.17199967514367676,1828193.5830429539
12729.725330361505,0.15309040124775547,0.15309040124775547,0.8469095987522446,1.2,0.1720849295153186,1836180.6944855773
12759.310880758489,0.1533720499151375,0.1533720499151375,0.8466279500848625,1.2,0.17216945965930996,1844126.4164384669
12788.64797012515,0.1536522200811875,0.1536522200811875,0.8463477799188125,1.2,0.1722532799146433,1852031.4664385593
12817.741466678573,0.15393093478826814,0.15393093478826816,0.8460690652117319,1.2,0.17233640419051022,1859896.542061197
12846.596094224951,0.15420821648636565,0.15420821648636565,0.8457917835136344,1.2,0.17241884598349988,1867722.3216811013
12875.216437874155,0.1544840870541935,0.1544840870541935,0.8455159129458065,1.2,0.17250061839392616,1875509.4651958696
12903.606949474777,0.15475856781933936,0.15475856781933936,0.8452414321806606,1.2,0.17258173414135652,1883258.6147154458
12931.771952782534,0.15503167957750735,0.15503167957750735,0.8449683204224927,1.2,0.17266220557937867,1890970.3952188566
12959.715648382713,0.15530344261090526,0.15530344261090526,0.8446965573890948,1.2,0.1727420447096649,1898645.4151810077
